年度,市町村名,観光地・施設名(観光地内訳),新規,月別内訳,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,分類コード
R5,出雲市,(1) 立久恵峡,,,2088,2604,4464,7128,12792,6384,10488,10620,11004,12696,6576,4224,91068,1-01-04
R5,出雲市,(2) 出雲民芸館,,,0,0,309,221,407,374,288,357,252,380,328,186,3102,1-02-06
R5,出雲市,(3) 出雲文化伝承館,,,4614,4304,6750,5596,7408,6345,6589,9382,5273,7644,7580,3163,74648,1-02-06
R5,出雲市,(4) 出雲健康公園(出雲ドーム含む),,,1357,1263,1516,1631,1530,1170,1556,1528,2217,2306,3640,1247,20961,1-02-06
R5,出雲市,(5) 出雲ゆうプラザ,,,7732,0,9011,9488,12053,11967,22585,33719,12912,8436,7796,7367,143066,1-04-99
R5,出雲市,(6) 出雲科学館,,,6449,6608,6572,5295,4728,3683,6736,10725,5285,4640,3917,3601,68239,1-02-06
R5,出雲市,(7) しまね花の郷,,,1727,4309,6592,7630,11971,6094,2340,1643,5655,7054,5001,2711,62727,1-02-09
R5,出雲市,(8) 長浜神社,,,4900,2000,2800,1700,2500,2200,1700,1300,900,1800,2400,1600,25800,1-02-03
R5,出雲市,(9) 一畑薬師,,,23000,5000,20000,50000,50000,20000,16000,21000,33000,38000,50000,5000,331000,1-02-03
R5,出雲市,(10) 平田本陣記念館,,,540,2008,422,433,406,342,515,1200,965,456,566,264,8117,1-02-06
R5,出雲市,(11) 木綿街道交流館,,,32,50,653,102,119,171,88,41,63,168,165,46,1698,1-02-11
R5,出雲市,(12) 平田海岸,,,21,270,41,277,520,732,9733,9973,1661,297,38,138,23701,1-04-04
R5,出雲市,(13) 島根ゴルフ倶楽部,,,2421,2356,3940,3395,3869,3356,3191,2657,3243,3943,3792,2899,39062,1-04-01
R5,出雲市,(14) 湖遊館,,,8593,7545,5288,3139,973,392,1862,15,6,3026,3344,6512,40695,1-04-01
R5,出雲市,(15) 宍道湖グリーンパーク,,,5439,4973,5494,4688,7032,4223,7561,12103,4879,4456,4894,2801,68543,1-04-99
R5,出雲市,(16) ゴビウス,,,10179,9141,13422,10481,15506,7693,13112,20943,11243,11728,9449,5767,138664,1-02-06
R5,出雲市,(17) 湯元楯縫割烹温泉ゆらり,,,17234,16257,16725,14569,15149,12782,13328,15702,13534,13909,14042,16689,179920,1-03-01
R5,出雲市,(18) すさのおの郷ゆかり館,,,1749,2592,1654,1714,1373,204,295,251,208,376,359,195,10970,1-03-01
R5,出雲市,(19) 目田森林公園,,,0,0,423,908,1377,906,811,915,566,808,463,101,7278,1-04-07
R5,出雲市,(20) 須佐神社,,,21100,4800,7800,6600,9200,8400,4800,10000,6100,8200,15100,6500,108600,1-02-03
R5,出雲市,(21) 八雲風穴,,,0,0,0,0,0,0,3894,6266,463,0,0,0,10623,1-01-99
R5,出雲市,(22) 多伎いちじく温泉,,,8501,8348,8398,6989,9302,5696,6555,8740,5919,6595,7037,6802,88882,1-03-01
R5,出雲市,(23) 田儀海岸,,,11,15,20,60,122,366,428,1764,801,432,146,122,4287,
R5,出雲市,a（田儀海水浴場）,,,0,0,0,0,0,0,198,1526,0,0,0,0,1724,1-04-05
