年月,宿泊地名,市町村名,当月_人泊,前年同月_人泊,対前年同月比_%,累計_人泊,前年累計_人泊,対前年同期比_%
2024-01,松江しんじ湖温泉,松江市,14391.0,11987.0,120.1,14391.0,11987.0,120.1
2024-01,玉造温泉,松江市,27605.0,23733.0,116.3,27605.0,23733.0,116.3
2024-01,有福温泉,江津市,674.0,505.0,133.5,674.0,505.0,133.5
2024-01,津和野,津和野町,1259.0,728.0,172.9,1259.0,728.0,172.9
2024-01,隠岐島後,隠岐の島町,1122.0,917.0,122.4,1122.0,917.0,122.4
2024-01,隠岐島前,,594.0,750.0,79.2,594.0,750.0,79.2
2024-02,松江しんじ湖温泉,松江市,16497.0,15014.0,109.9,30888.0,27001.0,114.4
2024-02,玉造温泉,松江市,32109.0,31538.0,101.8,59714.0,55271.0,108.0
2024-02,有福温泉,江津市,845.0,606.0,139.4,1519.0,1111.0,136.7
2024-02,津和野,津和野町,1441.0,843.0,170.9,2700.0,1571.0,171.9
2024-02,隠岐島後,隠岐の島町,1770.0,1272.0,139.2,2892.0,2189.0,132.1
2024-02,隠岐島前,,877.0,857.0,102.3,1471.0,1607.0,91.5
2024-03,松江しんじ湖温泉,松江市,22811.0,24371.0,93.6,53699.0,51372.0,104.5
2024-03,玉造温泉,松江市,45385.0,47811.0,94.9,105099.0,103082.0,102.0
2024-03,有福温泉,江津市,1313.0,1004.0,130.8,2832.0,2115.0,133.9
2024-03,津和野,津和野町,2154.0,1463.0,147.2,4854.0,3034.0,160.0
2024-03,隠岐島後,隠岐の島町,2966.0,2823.0,105.1,5858.0,5012.0,116.9
2024-03,隠岐島前,,1685.0,2096.0,80.4,3156.0,3703.0,85.2
2024-04,松江しんじ湖温泉,松江市,21134.0,20033.0,105.5,74833.0,71405.0,104.8
2024-04,玉造温泉,松江市,40198.0,34002.0,118.2,145297.0,137084.0,106.0
2024-04,有福温泉,江津市,979.0,611.0,160.2,3811.0,2726.0,139.8
2024-04,津和野,津和野町,2141.0,1693.0,126.5,6995.0,4727.0,148.0
2024-04,隠岐島後,隠岐の島町,3042.0,2532.0,120.1,8900.0,7544.0,118.0
2024-04,隠岐島前,,2271.0,2258.0,100.6,5427.0,5961.0,91.0
2024-05,松江しんじ湖温泉,松江市,22426.0,21741.0,103.2,97259.0,93146.0,104.4
2024-05,玉造温泉,松江市,43685.0,43957.0,99.4,188982.0,181041.0,104.4
2024-05,有福温泉,江津市,1222.0,972.0,125.7,5033.0,3698.0,136.1
2024-05,津和野,津和野町,2533.0,1960.0,129.2,9907.0,6687.0,148.2
2024-05,隠岐島後,隠岐の島町,4711.0,4032.0,116.8,13611.0,11576.0,117.6
2024-05,隠岐島前,,3432.0,3637.0,94.4,8859.0,9598.0,92.3
2024-06,松江しんじ湖温泉,松江市,19219.0,19536.0,98.4,116478.0,112682.0,103.4
2024-06,玉造温泉,松江市,32240.0,36948.0,87.3,221222.0,217989.0,101.5
2024-06,有福温泉,江津市,789.0,579.0,136.3,5822.0,4277.0,136.1
2024-06,津和野,津和野町,1737.0,1498.0,116.0,11644.0,8185.0,142.3
2024-06,隠岐島後,隠岐の島町,4183.0,3653.0,114.5,17794.0,15229.0,116.8
2024-06,隠岐島前,,2546.0,2806.0,90.7,11405.0,12404.0,91.9
2024-07,松江しんじ湖温泉,松江市,20376.0,19170.0,106.3,136854.0,131852.0,103.8
2024-07,玉造温泉,松江市,30591.0,29939.0,102.2,251813.0,247928.0,101.6
2024-07,有福温泉,江津市,1236.0,713.0,173.4,7058.0,4990.0,141.4
2024-07,津和野,津和野町,2177.0,1635.0,133.1,13821.0,9820.0,140.7
2024-07,隠岐島後,隠岐の島町,4940.0,3853.0,128.2,22734.0,19082.0,119.1
2024-07,隠岐島前,,3524.0,3432.0,102.7,14929.0,15836.0,94.3
2024-08,松江しんじ湖温泉,松江市,24969.0,23701.0,105.3,161823.0,155553.0,104.0
