ファイル対象年月,地域名,施設名,市町名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2024-01,,ぐるっと松江堀川めぐり,松江市,7801.0,7582.0,102.9,7801.0,7582.0,102.9
2024-01,,松江城,松江市,15482.0,12848.0,120.5,15482.0,12848.0,120.5
2024-01,松江,由志園,松江市,12445.0,10483.0,118.7,12445.0,10483.0,118.7
2024-01,松江,八重垣神社,松江市,45851.0,59017.0,77.7,45851.0,59017.0,77.7
2024-01,松江,足立美術館,安来市,16294.0,12286.0,132.6,16294.0,12286.0,132.6
2024-01,安来,清水寺,安来市,33000.0,35800.0,92.2,33000.0,35800.0,92.2
2024-01,安来,玉峰山荘,奥出雲町,6587.0,5840.0,112.8,6587.0,5840.0,112.8
2024-01,雲南,道の駅たたらば壱番地,雲南市,16010.0,14971.0,106.9,16010.0,14971.0,106.9
2024-01,雲南,古代出雲歴史博物館,出雲市,12160.0,11196.0,108.6,12160.0,11196.0,108.6
2024-01,雲南,道の駅キララ多伎,出雲市,25043.0,23755.0,105.4,25043.0,23755.0,105.4
2024-01,出雲,島根ワイナリー,出雲市,35710.0,33972.0,105.1,35710.0,33972.0,105.1
2024-01,出雲,ゴビウス,出雲市,12536.0,10179.0,123.2,12536.0,10179.0,123.2
2024-01,出雲,三瓶自然館,大田市,2664.0,2264.0,117.7,2664.0,2264.0,117.7
2024-01,大田,龍源寺間歩,大田市,2414.0,2055.0,117.5,2414.0,2055.0,117.5
2024-01,邑智,仁摩サンドミュージアム,大田市,1439.0,1328.0,108.4,1439.0,1328.0,108.4
2024-01,邑智,香木の森公園,邑南町,1300.0,1198.0,108.5,1300.0,1198.0,108.5
2024-01,邑智,風の国,江津市,627.0,1078.0,58.2,627.0,1078.0,58.2
2024-01,江津,アクアス,浜田市,16393.0,14742.0,111.2,16393.0,14742.0,111.2
2024-01,浜田,きんたの里,浜田市,8114.0,6894.0,117.7,8114.0,6894.0,117.7
2024-01,浜田,はまだお魚市場,浜田市,8294.0,7334.0,113.1,8294.0,7334.0,113.1
2024-01,浜田,万葉公園,益田市,16458.0,16896.0,97.4,16458.0,16896.0,97.4
2024-01,益田,太皷谷稲成神社,津和野町,233202.0,213641.0,109.2,233202.0,213641.0,109.2
2024-01,益田,森鷗外記念館,津和野町,367.0,362.0,101.4,367.0,362.0,101.4
2024-01,益田,隠岐神社,海士町,1500.0,1395.0,107.5,1500.0,1395.0,107.5
2024-01,隠岐,国賀海岸,西ノ島町,0.0,0.0,-,0.0,0.0,-
2024-01,隠岐,フィッシャーマンズワーフ隠岐,隠岐の島町,2103.0,2105.0,99.9,2103.0,2105.0,99.9
2024-01,隠岐,合,計,533794.0,509221.0,104.8,533794.0,509221.0,104.8
2024-02,,ぐるっと松江堀川めぐり,松江市,9708.0,9378.0,103.5,17509.0,16960.0,103.2
2024-02,,松江城,松江市,19275.0,18336.0,105.1,35013.0,31184.0,112.3
2024-02,松江,由志園,松江市,8820.0,9848.0,89.6,21265.0,20331.0,104.6
