ファイル対象年月,交通種別,交通機関名,当年(月),前年(月),対前年同月比,当年(累計),前年(累計),対前年同期比
2024-01,,出雲縁結び ～ 羽田,38404.0,33333.0,115.2,38404.0,33333.0,115.2
2024-01,,出雲縁結び ～ 大阪,14589.0,10263.0,142.2,14589.0,10263.0,142.2
2024-01,,出雲縁結び ～ 福岡,4193.0,3116.0,134.6,4193.0,3116.0,134.6
2024-01,,出雲縁結び ～ 名古屋,5633.0,4977.0,113.2,5633.0,4977.0,113.2
2024-01,航空機,出雲縁結び ～ 静岡,899.0,2154.0,41.7,899.0,2154.0,41.7
2024-01,航空機,出雲縁結び ～ 仙台,1144.0,2052.0,55.8,1144.0,2052.0,55.8
2024-01,航空機,萩・石見 ～ 羽田,8648.0,9079.0,95.3,8648.0,9079.0,95.3
2024-01,フェリー,本土 ～ 隠岐,14602.0,13402.0,109.0,14602.0,13402.0,109.0
2024-01,高速船,本土 ～ 隠岐,0.0,0.0,,0.0,0.0,
2024-02,,出雲縁結び ～ 羽田,44485.0,35804.0,124.2,82889.0,69137.0,119.9
2024-02,,出雲縁結び ～ 大阪,12955.0,10510.0,123.3,27544.0,20773.0,132.6
2024-02,,出雲縁結び ～ 福岡,4162.0,3335.0,124.8,8355.0,6451.0,129.5
2024-02,,出雲縁結び ～ 名古屋,6691.0,5597.0,119.5,12324.0,10574.0,116.6
2024-02,航空機,出雲縁結び ～ 静岡,0.0,2813.0,0.0,899.0,4967.0,18.1
2024-02,航空機,出雲縁結び ～ 仙台,0.0,2486.0,0.0,1144.0,4538.0,25.2
2024-02,航空機,萩・石見 ～ 羽田,8884.0,8656.0,102.6,17532.0,17735.0,98.9
2024-02,フェリー,本土 ～ 隠岐,14972.0,11738.0,127.6,29574.0,25140.0,117.6
2024-02,高速船,本土 ～ 隠岐,0.0,2130.0,0.0,0.0,2130.0,0.0
2024-03,,出雲縁結び ～ 羽田,55287.0,49822.0,111.0,138176.0,118959.0,116.2
2024-03,,出雲縁結び ～ 大阪,15879.0,14820.0,107.1,43423.0,35593.0,122.0
2024-03,,出雲縁結び ～ 福岡,4972.0,4302.0,115.6,13327.0,10753.0,123.9
2024-03,,出雲縁結び ～ 名古屋,7287.0,8256.0,88.3,19611.0,18830.0,104.1
2024-03,航空機,出雲縁結び ～ 中部,134.0,,0.0,134.0,,0.0
2024-03,航空機,出雲縁結び ～ 静岡,80.0,4152.0,1.9,979.0,9119.0,10.7
2024-03,航空機,萩・石見 ～ 羽田,11204.0,10950.0,102.3,28736.0,28685.0,100.2
2024-03,フェリー,本土 ～ 隠岐,17306.0,17259.0,100.3,46880.0,42399.0,110.6
2024-03,高速船,本土 ～ 隠岐,6008.0,7463.0,80.5,6008.0,9593.0,62.6
2024-04,,出雲縁結び ～ 羽田,47461.0,43720.0,108.6,185637.0,162679.0,114.1
2024-04,,出雲縁結び ～ 大阪,13547.0,12238.0,110.7,56970.0,47831.0,119.1
2024-04,,出雲縁結び ～ 福岡,3909.0,3807.0,102.7,17236.0,14560.0,118.4
2024-04,,出雲縁結び ～ 名古屋,6257.0,6945.0,90.1,25868.0,25775.0,100.4
2024-04,航空機,出雲縁結び ～ 名古屋中部,2752.0,-,0.0,2886.0,-,0.0
2024-04,航空機,出雲縁結び ～ 静岡,1966.0,3280.0,59.9,2945.0,12399.0,23.8
