年度,市町村名,観光地・施設名(観光地内訳),新規,月別内訳,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,分類コード
R5,出雲市,(30) いづも大社カントリークラブ,,,2796.0,3224.0,3998.0,3636.0,4486.0,3825,3263,3550.0,3900.0,4525.0,3986.0,3453.0,44642.0,1-04-01
R5,出雲市,(31) 日御碕,,,51090.0,57090.0,99990.0,84040.0,127000.0,76830,78190,129450.0,94450.0,116830.0,92880.0,48300.0,1056140.0,1-01-05
R5,出雲市,(32) 出雲大社,,,926000.0,468000.0,619000.0,496000.0,825000.0,479000,414000,594000.0,502000.0,656000.0,728000.0,407000.0,7114000.0,1-02-03
R5,出雲市,(33) 吉兆館,,,5564.0,4831.0,8617.0,7216.0,11679.0,6552,5837,8686.0,6550.0,9309.0,11488.0,5446.0,91775.0,1-02-06
R5,出雲市,(34) 旧大社駅,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1-02-12
R5,出雲市,(35) 蔵の美術館（手銭記念館）,,,44.0,92.0,54.0,67.0,192.0,50,26,102.0,79.0,123.0,130.0,58.0,1017.0,1-02-06
R5,出雲市,(36) 島根ワイナリー,,,33972.0,29097.0,43768.0,32363.0,49318.0,32100,27139,51194.0,36357.0,45453.0,49793.0,27406.0,457960.0,1-05-03
R5,出雲市,(37) 稲佐の浜海水浴場,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1-04-05
R5,出雲市,(38) おわし浜海水浴場,,,0.0,0.0,0.0,0.0,0.0,0,1368,5632.0,0.0,0.0,0.0,0.0,7000.0,1-04-05
R5,出雲市,(39) 大社町全域釣り,,,1046.0,1336.0,2841.0,3466.0,3553.0,2733,2128,2124.0,3115.0,4692.0,2197.0,1466.0,30697.0,1-04-04
R5,出雲市,(40) 古代出雲歴史博物館,,,11196.0,8927.0,14529.0,16143.0,19655.0,12624,11509,18406.0,13052.0,16714.0,22858.0,10914.0,176527.0,1-02-06
R6,出雲市,(30) いづも大社カントリークラブ,,,3203.0,2975.0,3785.0,4367.0,4781.0,305,253,217.0,605.0,74.0,278.0,359.0,2938.0,1-03-01
R6,出雲市,(31) 日御碕,,,48800.0,56610.0,83000.0,95310.0,131920.0,4175,3512,3415.0,4235.0,4444.0,4201.0,3612.0,46705.0,1-04-01
R6,出雲市,(32) 出雲大社,,,968000.0,385000.0,494000.0,510000.0,957000.0,83750,19460,0.0,88130.0,99970.0,107200.0,50790.0,864940.0,1-01-05
R6,出雲市,(33) 吉兆館,,,4300.0,4000.0,3500.0,5600.0,7050.0,428000,400000,602000.0,507000.0,619000.0,735000.0,377000.0,6982000.0,1-02-03
R6,出雲市,(34),,,,,,,,4500,5700,7600.0,5900.0,8200.0,10600.0,6500.0,73450.0,1-02-06
R6,出雲市,(35) 蔵の美術館（手銭記念館）,,,55.0,0.0,85.0,156.0,176.0,0,1-02-12,,,,,,,
R6,出雲市,(36) 島根ワイナリー,,,35710.0,24857.0,34165.0,32399.0,38758.0,52,115,69.0,69.0,171.0,170.0,13.0,1131.0,1-02-06
R6,出雲市,(37) 稲佐の浜海水浴場,,,0.0,0.0,0.0,0.0,0.0,26842,26857,51852.0,37936.0,45880.0,54081.0,29401.0,438738.0,1-05-03
R6,出雲市,(38) おわし浜海水浴場,,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1-04-05
R6,出雲市,(39) 大社町全域釣り,,,999.0,1325.0,2358.0,3931.0,3691.0,0,340,0.0,0.0,0.0,0.0,0.0,340.0,1-04-05
R6,出雲市,(40) 古代出雲歴史博物館,,,12160.0,9072.0,15929.0,16304.0,19212.0,2979,2128,2124.0,2907.0,4015.0,2536.0,1542.0,30535.0,1-04-04
